case_id,phase,base_config,geometry_family,nx,ny,pinning_model,pinning_mu,pinning_sigma,pinning_lcorr,defect_count,b_dc,a_rf,omega,gamma_noise,dt,n_steps,ensemble_size,obs_stride,field_stride,goal,success_metric,promotion_rule,notes
D01,D,configs/deterministic_baseline.yaml,strip,256,64,none,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,4000,1,10,200,Meissner stability,"flat observables, zero vortices",gate:G1,coarse sanity run
D02,D,configs/deterministic_baseline.yaml,strip,512,128,none,0.0,0.0,0.0,0,0.01,0.0,0.0,0.0,0.001,8000,1,10,400,Static bias ramp onset study,threshold converges under refinement,gate:G1,medium deterministic
D03,D,configs/deterministic_baseline.yaml,strip,1024,256,none,0.0,0.0,0.0,0,0.02,0.0,0.0,0.0,0.0005,12000,1,10,600,Fine deterministic reference,<5% difference vs D02 refined metric,gate:G1,fine mesh
D04,D,configs/deterministic_baseline.yaml,strip,512,128,gaussian_defects,0.0,0.0,0.0,1,0.015,0.015,0.02,0.0,0.001,10000,1,10,400,Pinned vortex depinning,defect trapping and release visible,gate:G1,single defect
D05,D,configs/deterministic_baseline.yaml,strip_with_moat,512,128,none,0.0,0.0,0.0,0,0.012,0.01,0.02,0.0,0.001,10000,1,10,400,Masked geometry validation,no leakage through moat mask,gate:G1,simple moat
D06,D,configs/deterministic_baseline.yaml,strip,512,128,gaussian_defects,0.0,0.0,0.0,3,0.015,0.02,0.02,0.0,0.001,12000,1,10,600,Multi-defect deterministic,stable event catalog under refinement,proposal:figure2,trajectory figure candidate
S01,S,configs/stochastic_baseline.yaml,strip,512,128,none,0.0,0.0,0.0,0,0.01,0.015,0.02,0.0005,0.001,8000,16,10,400,Low-noise sanity ensemble,"finite observables, low event counts",gate:G2,clean strip stochastic
S02,S,configs/stochastic_baseline.yaml,strip,512,128,random_field,0.0,0.1,1.0,0,0.015,0.02,0.02,0.001,0.001,10000,32,10,500,Mild disorder ensemble,nontrivial but sparse events,gate:G2,discovery regime
S03,S,configs/stochastic_baseline.yaml,strip,512,128,random_field,0.0,0.18,1.0,0,0.015,0.025,0.02,0.001,0.001,12000,64,10,600,Baseline rare-event ensemble,event summaries stabilize with 2N,gate:G2,baseline stochastic
S04,S,configs/stochastic_baseline.yaml,strip,512,128,random_field,0.0,0.25,0.8,0,0.018,0.03,0.02,0.0015,0.001,12000,64,10,600,Higher-disorder ensemble,bursty event statistics,proposal:figure3,trace figure candidate
S05,S,configs/stochastic_baseline.yaml,strip,1024,256,random_field,0.0,0.18,1.0,0,0.015,0.025,0.02,0.001,0.0005,12000,32,10,800,Refined stochastic check,medium/fine summary shift <10%,gate:G2,refinement
S06,S,configs/stochastic_baseline.yaml,strip_with_moat,512,128,random_field,0.0,0.18,1.0,0,0.015,0.025,0.02,0.001,0.001,12000,32,10,600,Moat geometry under noise,geometry sensitivity in event rate,proposal:figure1,compare to strip
S07,S,configs/stochastic_baseline.yaml,strip,512,128,random_field,0.0,0.18,1.5,0,0.01,0.02,0.02,0.002,0.001,12000,64,10,600,High-noise ensemble,event count monotonic in gamma,gate:G2,noise sensitivity
S08,S,configs/stochastic_baseline.yaml,strip,512,128,random_field,0.0,0.3,0.5,0,0.02,0.035,0.02,0.0015,0.001,15000,128,10,750,Aggressive regime,bursty regime discovery,proposal:figure3,high event rate
I01,I,configs/inference_baseline.yaml,strip,512,128,random_field,0.0,0.18,1.0,0,0.015,0.025,0.02,0.001,0.001,12000,128,10,1000,Synthetic MAP + Laplace baseline,"truth in 95% interval, mean within 15%",gate:G3,baseline inverse
I02,I,configs/inference_baseline.yaml,strip,512,128,random_field,0.0,0.12,1.2,0,0.012,0.022,0.02,0.0008,0.001,12000,128,10,1000,Alternate synthetic truth A,coverage maintained,gate:G3,sensitivity to lower disorder
I03,I,configs/inference_baseline.yaml,strip,512,128,random_field,0.0,0.25,0.8,0,0.018,0.03,0.02,0.0015,0.001,12000,128,10,1000,Alternate synthetic truth B,coverage maintained,proposal:figure4,posterior figure candidate
I04,I,configs/inference_baseline.yaml,strip_with_moat,512,128,random_field,0.0,0.18,1.0,0,0.015,0.025,0.02,0.001,0.001,12000,128,10,1000,Geometry-shift inference,posterior predictive check passes,gate:G3,geometry sensitivity
P01,P,configs/deterministic_baseline.yaml,strip,512,128,none,0.0,0.0,0.0,0,0.015,0.02,0.02,0.0,0.001,12000,1,10,1000,Strong-scaling pilot,>=60% efficiency in pilot range,scale:pilot,single realization
P02,P,configs/stochastic_baseline.yaml,strip,512,128,random_field,0.0,0.18,1.0,0,0.015,0.025,0.02,0.001,0.001,12000,16,10,1000,Ensemble scaling pilot,near-linear throughput until IO bound,scale:pilot,ensemble throughput
P03,P,configs/stochastic_baseline.yaml,strip,1024,256,random_field,0.0,0.18,1.0,0,0.015,0.025,0.02,0.001,0.0005,12000,16,10,1200,Weak-scaling pilot,>=70% weak scaling efficiency,scale:pilot,larger mesh
P04,P,configs/inference_baseline.yaml,strip,512,128,random_field,0.0,0.18,1.0,0,0.015,0.025,0.02,0.001,0.001,12000,64,10,1200,Inference throughput pilot,document cost per posterior eval,scale:proposal,compute justification
